Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,PaidGoodReward1,PaidGoodAmount1,PaidGoodReward2,PaidGoodAmount2,PaidGoodReward3,PaidGoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxPonyAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxAlpacaAmount,MaxAlpacaHouseAmount,MaxHedgehog1Amount,MaxHedgehog2Amount,MaxHoglet1Amount,MaxHoglet2Amount,MaxHedgehogHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxLambHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,DiamondsToCoinsRateV2,DiamondsToCoinsRateV3,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,TruckCoinMultiplier,TruckEXPMultiplier,BoatCrateCoinMultiplier,BoatCrateEXPMultiplier,EXPEventCurrencyMultiplier,GoodReward4,GoodAmount4,GoodReward5,GoodAmount5,GoodReward6,GoodAmount6,MinTruckOrderValueOfDay,MaxTruckOrderValueOfDay,TargetTruckOrdersPerDay,MaxLockedOrderProducts,MaxTruckOrderMultiplier,MinPeopleQuestEffort,MaxPeopleQuestEffort,PeopleQuestDealersChoiceExpReward,PeopleQuestDealersChoiceCoinReward
1059,16287000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,479,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1068,1078,1068,1068
1060,16307000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,479,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1069,1079,1069,1069
1061,16327000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,480,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1070,1080,1070,1070
1062,16347000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,480,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1071,1081,1071,1071
1063,16367000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,480,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1072,1082,1072,1072
1064,16387000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,480,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1073,1083,1073,1073
1065,16407000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,480,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1074,1084,1074,1074
1066,16427000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,480,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1075,1085,1075,1075
1067,16447000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,480,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1076,1086,1076,1076
1068,16467000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,480,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1077,1087,1077,1077
1069,16487000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,480,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1078,1088,1078,1078
1070,16507000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,480,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1079,1089,1079,1079
1071,16527000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,481,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1080,1090,1080,1080
1072,16547000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,481,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1081,1091,1081,1081
1073,16567000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,481,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1082,1092,1082,1082
1074,16587000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,481,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1083,1093,1083,1083
1075,16607000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,481,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1084,1094,1084,1084
1076,16627000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,481,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1085,1095,1085,1085
1077,16647000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,481,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1086,1096,1086,1086
1078,16667000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,481,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1087,1097,1087,1087
1079,16687000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,481,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1088,1098,1088,1088
1080,16707000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,481,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1089,1099,1089,1089
1081,16727000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,482,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1090,1100,1090,1090
1082,16747000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,482,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1091,1101,1091,1091
1083,16767000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,482,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1092,1102,1092,1092
1084,16787000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,482,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1093,1103,1093,1093
1085,16807000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,482,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1094,1104,1094,1094
1086,16827000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,482,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1095,1105,1095,1095
1087,16847000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,482,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1096,1106,1096,1096
1088,16867000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,482,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1097,1107,1097,1097
1089,16887000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,482,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1098,1108,1098,1098
1090,16907000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,482,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1099,1109,1099,1099
1091,16927000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,483,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1100,1110,1100,1100
1092,16947000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,483,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1101,1111,1101,1101
1093,16967000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,483,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1102,1112,1102,1102
1094,16987000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,483,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1103,1113,1103,1103
1095,17007000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,483,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1104,1114,1104,1104
1096,17027000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,483,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1105,1115,1105,1105
1097,17047000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,483,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1106,1116,1106,1106
1098,17067000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,483,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1107,1117,1107,1107
1099,17087000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,483,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1108,1118,1108,1108
1100,17107000,FreeDiamonds,475,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,483,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,100,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1109,1119,1109,1109
1101,17127000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,484,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1110,1120,1110,1110
1102,17147000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,484,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1111,1121,1111,1111
1103,17167000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,484,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1112,1122,1112,1112
1104,17187000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,484,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1113,1123,1113,1113
1105,17207000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,484,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1114,1124,1114,1114
1106,17227000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,484,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1115,1125,1115,1115
1107,17247000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,484,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1116,1126,1116,1116
1108,17267000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,484,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1117,1127,1117,1117
1109,17287000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,484,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1118,1128,1118,1118
1110,17307000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,484,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,98,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1119,1129,1119,1119
1111,17327000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,485,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1120,1130,1120,1120
1112,17347000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,485,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1121,1131,1121,1121
1113,17367000,FreeDiamonds,25,,,,,,,,,,,RS12,RS11,RS12,RS11,RS12,485,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1122,1132,1122,1122
1114,17387000,FreeDiamonds,25,,,,,,,,,,,RS11,RS12,RS11,RS12,RS11,485,1712,200,200,2,2,2,4,2,1,5,2,2,2,2,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,3,3,3,2,3,3,2,2,5,1,1,1,5,30,3,5,9,0,99,231,463,46962,832017,500000,145,6,12,846,946,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,1123,1133,1123,1123
